,name,often_tested,multirun,boxcox_lmbda
83,test_img_link,0.0,-1.0,-0.3260524396705315
84,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
85,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
86,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
87,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
88,test_img_link,0.0,-1.0,-0.3260524396705315
89,test_img_link,0.0,-1.0,-0.3260524396705315
90,test_img_link,0.0,-1.0,-0.3260524396705315
91,test_img_link,0.0,-1.0,-0.3260524396705315
92,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
93,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
94,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
95,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
96,test_text_contrast,0.0,-1.0,-0.3260524396705315
97,test_text_contrast,0.0,-1.0,-0.3260524396705315
98,test_text_contrast,0.0,-1.0,-0.3260524396705315
99,test_text_contrast,0.0,-1.0,-0.3260524396705315
100,test_text_contrast,0.0,-1.0,-0.3260524396705315
101,test_text_contrast,0.0,-1.0,-0.3260524396705315
102,test_text_contrast,0.0,-1.0,-0.3260524396705315
103,test_text_contrast,0.0,-1.0,-0.3260524396705315
104,test_text_contrast,0.0,-1.0,-0.3260524396705315
105,test_text_contrast,0.0,-1.0,-0.3260524396705315
106,test_text_contrast,0.0,-1.0,-0.3260524396705315
107,test_text_contrast,0.0,-1.0,-0.3260524396705315
108,test_text_contrast,0.0,-1.0,-0.3260524396705315
109,test_text_contrast,0.0,-1.0,-0.3260524396705315
110,test_text_contrast,0.0,-1.0,-0.3260524396705315
111,test_text_contrast,0.0,-1.0,-0.3260524396705315
112,test_text_contrast,0.0,-1.0,-0.3260524396705315
113,test_text_contrast,0.0,-1.0,-0.3260524396705315
114,test_text_contrast,0.0,-1.0,-0.3260524396705315
115,test_text_contrast,0.0,-1.0,-0.3260524396705315
116,test_img_link,0.0,-1.0,-0.3260524396705315
117,test_img_link,0.0,-1.0,-0.3260524396705315
118,test_img_link,0.0,-1.0,-0.3260524396705315
119,test_img_link,0.0,-1.0,-0.3260524396705315
120,test_img_link,0.0,-1.0,-0.3260524396705315
121,test_img_link,0.0,-1.0,-0.3260524396705315
122,test_img_link,0.0,-1.0,-0.3260524396705315
123,test_tables_struct,0.0,-1.0,-0.3260524396705315
124,test_markup,0.0,-1.0,-0.3260524396705315
125,test_base_link,0.0,-1.0,-0.3260524396705315
126,test_base_link,0.0,-1.0,-0.3260524396705315
127,test_base_link,0.0,-1.0,-0.3260524396705315
128,test_base_link,0.0,-1.0,-0.3260524396705315
129,test_base_link,0.0,-1.0,-0.3260524396705315
130,test_base_link,0.0,-1.0,-0.3260524396705315
131,test_base_link,0.0,-1.0,-0.3260524396705315
132,test_base_link,0.0,-1.0,-0.3260524396705315
133,test_base_link,0.0,-1.0,-0.3260524396705315
134,test_img_link,0.0,-1.0,-0.3260524396705315
135,test_links_with_same_resource,0.0,-1.0,-0.3260524396705315
136,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
137,test_visible_list,0.0,-1.0,-0.3260524396705315
138,test_related_elements_as_list,0.0,-1.0,-0.3260524396705315
139,test_tables_struct,0.0,-1.0,-0.3260524396705315
140,test_markup,0.0,-1.0,-0.3260524396705315
141,test_base_link,0.0,-1.0,-0.3260524396705315
142,test_base_list,0.0,-1.0,-0.3260524396705315
143,test_base_link,0.0,-1.0,-0.3260524396705315
144,test_base_link,0.0,-1.0,-0.3260524396705315
145,test_base_link,0.0,-1.0,-0.3260524396705315
146,test_base_link,0.0,-1.0,-0.3260524396705315
147,test_base_link,0.0,-1.0,-0.3260524396705315
148,test_base_link,0.0,-1.0,-0.3260524396705315
149,test_tables_struct,0.0,-1.0,-0.3260524396705315
150,test_tables_struct,0.0,-1.0,-0.3260524396705315
151,test_tables_struct,0.0,-1.0,-0.3260524396705315
152,test_base_list,0.0,-1.0,-0.3260524396705315
153,test_visible_list,0.0,-1.0,-0.3260524396705315
154,test_base_list,0.0,-1.0,-0.3260524396705315
155,test_base_list,0.0,-1.0,-0.3260524396705315
156,test_base_list,0.0,-1.0,-0.3260524396705315
157,test_base_list,0.0,-1.0,-0.3260524396705315
158,test_base_list,0.0,-1.0,-0.3260524396705315
159,test_base_list,0.0,-1.0,-0.3260524396705315
